time/iterations,train/reward,time/total_timesteps,time/fps,time/time_elapsed,train/entropy_loss,train/n_updates,train/approx_kl,train/std,train/clip_fraction,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/value_loss
1,0.81038326,2048,160,12,,,,,,,,,,,
2,-0.15597124,4096,151,27,-41.184115982055665,10,0.016946409,1.002437949180603,0.1984375,0.00025,0.006677567958831787,0.2,-0.024216239844099617,4.875541687011719,10.007334405183792
3,1.5361396,6144,151,40,-41.25614037513733,20,0.017250162,1.004677653312683,0.199755859375,0.00025,-0.008534550666809082,0.2,-0.02069545570993796,16.69004249572754,35.57854488492012
4,1.3021913,8192,152,53,-41.30480194091797,30,0.01751965,1.006086826324463,0.184423828125,0.00025,0.007178008556365967,0.2,-0.0199028287519468,26.563312530517578,67.2387229681015
5,-1.4071894,10240,152,67,-41.347321724891664,40,0.017870482,1.0078494548797607,0.214306640625,0.00025,0.03888171911239624,0.2,-0.02261356070812326,9.954665184020996,16.14952360987663
6,-0.3348628,12288,150,81,-41.3957985162735,50,0.017417151,1.0091968774795532,0.2091796875,0.00025,0.00874859094619751,0.2,-0.021127973425609525,48.19411849975586,53.04778374433518
7,2.509213,14336,150,95,-41.4348305940628,60,0.017960344,1.01055908203125,0.170751953125,0.00025,-0.004738330841064453,0.2,-0.016422033321578055,55.4901237487793,147.06724352836608
8,-4.166827,16384,150,108,-41.46582148075104,70,0.017364189,1.011476755142212,0.1533203125,0.00025,-0.0015420913696289062,0.2,-0.01928202563431114,19.5668888092041,33.225902354717256
9,1.0038898,18432,151,121,-41.49481592178345,80,0.018365182,1.0127112865447998,0.2333984375,0.00025,-0.011533141136169434,0.2,-0.016373997631308156,28.14806365966797,80.39648561477661
10,-2.8587484,20480,152,134,-41.53653335571289,90,0.017640457,1.0145505666732788,0.162646484375,0.00025,0.012455880641937256,0.2,-0.01641574802197283,60.2338981628418,102.71553025245666
11,-0.36266518,22528,151,148,-41.62215554714203,100,0.024117779,1.018819808959961,0.2177734375,0.00025,-0.013859868049621582,0.2,-0.01602529210213106,18.98000717163086,63.50564497709274
12,0.61776334,24576,151,161,-41.74299128055573,110,0.027600072,1.0217006206512451,0.2998046875,0.00025,-0.005141019821166992,0.2,-0.021319279505405575,10.923685073852539,20.32993687391281
13,-0.09010184,26624,151,176,-41.78396127223969,120,0.024392555,1.023182988166809,0.2333984375,0.00025,-0.005199551582336426,0.2,-0.01374928092409391,60.73645782470703,118.7692319393158
14,5.9635925,28672,150,190,-41.828255677223204,130,0.023057759,1.0244693756103516,0.233642578125,0.00025,-0.004423856735229492,0.2,-0.013877353625139222,64.83906555175781,92.97519359588622
15,0.30314368,30720,149,204,-41.91846513748169,140,0.026716748,1.0292539596557617,0.305859375,0.00025,-0.006796717643737793,0.2,-0.008485077193472534,8.007601737976074,19.012547385692596
16,1.0492494,32768,148,220,-42.002908039093015,150,0.019710885,1.0312983989715576,0.20908203125,0.00025,0.002213895320892334,0.2,-0.014053440836141818,24.156875610351562,105.61792840957642
17,-1.7349622,34816,148,234,-42.07817251682282,160,0.029905766,1.0344088077545166,0.234423828125,0.00025,0.001786947250366211,0.2,-0.010303681207005866,46.92995071411133,115.54251573085784
18,-3.3677185,36864,148,247,-42.13584587574005,170,0.020856164,1.0351002216339111,0.25390625,0.00025,-0.030332446098327637,0.2,-0.010502291028387845,5.860889434814453,23.83550515770912
19,-0.50936705,38912,149,260,-42.18964841365814,180,0.02838127,1.0381900072097778,0.282275390625,0.00025,0.019103169441223145,0.2,-0.014558545872569084,23.4566593170166,74.91745804548263
20,-1.7075028,40960,149,273,-42.260452246665956,190,0.023951871,1.0403939485549927,0.22255859375,0.00025,0.0568774938583374,0.2,-0.019825502248568227,18.37405776977539,47.848723566532136
21,0.42394564,43008,149,287,-42.31238832473755,200,0.028363109,1.0423158407211304,0.278125,0.00025,0.052043616771698,0.2,-0.018603535153670237,6.104568004608154,16.756752794981004
22,0.17817508,45056,149,300,-42.385666251182556,210,0.031909853,1.044752597808838,0.311474609375,0.00025,0.053031861782073975,0.2,-0.01785724756773561,44.302425384521484,42.10040587186813
23,0.025152093,47104,150,313,-42.452524828910825,220,0.030297047,1.047832727432251,0.28857421875,0.00025,0.04799014329910278,0.2,-0.013361027107748669,55.73271179199219,99.62509377002716
24,-0.26803318,49152,150,327,-42.5125271320343,230,0.01962085,1.0488781929016113,0.17470703125,0.00025,-0.010359644889831543,0.2,-0.016733367220149377,14.417378425598145,44.048855662345886
25,1.289675,51200,150,340,-42.5650600194931,240,0.028878171,1.0518155097961426,0.283740234375,0.00025,0.13333171606063843,0.2,-0.01377596266393084,8.536266326904297,19.736210507154464
